;Default voxel types are:
;0 (zero) - air
;
;Voxel info format:
;<letter V>type foreground_color background_color 6_sides_chars voxel_mark_or_exclamation
;Sides:
; 1 - X- (faces west)
; 2 - X+ (faces east)
; 3 - Y- (faces south)
; 4 - Y+ (faces north)
; 5 - bottom
; 6 - top
;
; Air:
V0 000 000 000 000 000 000 000000 !
;
; Water:
V1 500 500 500 000 000 500 ~~~~~~ !
;
; Sand:
V2 900 900 900 500 500 000 ,-=,,. !
V2 900 900 900 500 400 000 .=-.., !
V2 900 900 900 400 450 000 ,.=,=- !
V2 900 900 900 500 500 000 ,-=,,. !
;
; Plastic:
V8 700 000 700 200 200 200 aAaAaA !
V8 700 000 700 300 300 300 lLlLlL !
;
; Actors body parts types
V8 999 999 999 999 999 999 000000 face
V8 700 100 700 800 800 800 ~`~``~ hair
V8 700 100 700 800 800 800 HhHhHh head
V8 700 100 700 800 800 800 nNnNnN neck
V8 700 100 700 800 800 800 nNnNnN chest
V8 700 100 700 800 800 800 oOoOoO boobs
V8 700 100 700 800 800 800 wWwWwW waist
V8 700 100 700 800 800 800 pPpPpP pelvis
V8 700 100 700 800 800 800 567557 LUL
V8 700 100 700 800 800 800 567557 RUL
V8 700 100 700 800 800 800 567557 LLL
V8 700 100 700 800 800 800 567557 RLL
V8 700 100 700 800 800 800 lLlLlL Lfoot
V8 700 100 700 800 800 800 rRrRrR Rfoot
V8 700 100 700 800 800 800 567557 LUA
V8 700 100 700 800 800 800 567557 RUA
V8 700 100 700 800 800 800 567557 LLA
V8 700 100 700 800 800 800 567557 RLA
V8 700 100 700 800 800 800 LlLlLl Lhand
V8 700 100 700 800 800 800 RrRrRr Rhand
;
; end of the table
